id,review
1,"Курьер приехал вовремя, упаковка целая, товар полностью соответствует описанию."
2,"Приложение постоянно зависает при оплате, пришлось три раза перезапускать заказ."
3,"Цена нормальная, но поддержка отвечала почти сутки, поэтому впечатление смешанное."
4,"Наушники звучат отлично, шумоподавление работает лучше, чем ожидал."
5,"Заказ отменили без объяснения причин, деньги вернулись только через неделю."
6,"Инструкция понятная, сборка заняла десять минут, всё работает стабильно."
7,"Доставка задержалась на два дня, но менеджер быстро предупредил и предложил скидку."
8,"Качество пластика слабое, крышка люфтит, хотя дизайн выглядит приятно."
9,"Покупаю здесь второй раз: ассортимент удобный, цены адекватные, оформление заказа быстрое."
10,"Товар пришёл с царапиной, служба поддержки попросила прислать фото и сразу оформила замену."
