date,region,channel,product,units_sold,revenue,cost,customer_segment
2026-01-05,Владивосток,online,Ноутбук,4,312000,244000,b2c
2026-01-06,Хабаровск,retail,Смартфон,11,517000,396000,b2c
2026-01-07,Владивосток,retail,Планшет,7,203000,151000,b2c
2026-01-08,Находка,online,Наушники,34,136000,85000,b2c
2026-01-09,Уссурийск,partner,Ноутбук,3,261000,192000,b2b
2026-01-10,Хабаровск,online,Смартфон,9,423000,324000,b2c
2026-01-11,Владивосток,partner,Монитор,12,336000,228000,b2b
2026-01-12,Находка,retail,Наушники,27,108000,69000,b2c
2026-01-13,Уссурийск,online,Планшет,5,145000,110000,b2c
2026-01-14,Владивосток,online,Смартфон,15,705000,540000,b2c
2026-01-15,Хабаровск,partner,Ноутбук,5,435000,320000,b2b
2026-01-16,Находка,online,Монитор,6,168000,114000,b2c
2026-01-17,Уссурийск,retail,Наушники,22,88000,57000,b2c
2026-01-18,Владивосток,retail,Ноутбук,2,174000,128000,b2c
2026-01-19,Хабаровск,online,Планшет,8,232000,176000,b2c
2026-01-20,Находка,partner,Смартфон,6,282000,216000,b2b
2026-01-21,Уссурийск,online,Монитор,9,252000,171000,b2c
2026-01-22,Владивосток,partner,Сервер,1,950000,720000,b2b
2026-01-23,Хабаровск,retail,Наушники,31,124000,79000,b2c
2026-01-24,Находка,online,Планшет,4,116000,88000,b2c
2026-01-25,Уссурийск,partner,Смартфон,7,329000,252000,b2b
2026-01-26,Владивосток,online,Монитор,14,392000,266000,b2c
2026-01-27,Хабаровск,partner,Сервер,2,1900000,1440000,b2b
2026-01-28,Находка,retail,Ноутбук,1,87000,64000,b2c
